recno,count,streetname,xL,yL,pumpname,xLp,yLp
233,1,Dufours Pl,-0.137324274,51.51353877,Broad St,-0.136589075,51.51330218
234,2,Dufours Pl,-0.137385208,51.51359218,Broad St,-0.136589075,51.51330218
235,3,Dufours Pl,-0.137394686,51.513739,Broad St,-0.136589075,51.51330218
236,1,Marshall St,-0.138199686,51.51388445,Carnaby St,-0.139529412,51.51382806
237,1,Dufours Pl,-0.137285081,51.51376915,Broad St,-0.136589075,51.51330218
238,4,Marshall St,-0.137855462,51.5134801,Broad St,-0.136589075,51.51330218
239,2,Marshall St,-0.138061766,51.51370891,Carnaby St,-0.139529412,51.51382806
240,2,Marshall St,-0.138189924,51.51361332,Carnaby St,-0.139529412,51.51382806
241,1,Marshall St,-0.138225582,51.51367686,Carnaby St,-0.139529412,51.51382806
242,5,Poland St,-0.137977427,51.51406406,Carnaby St,-0.139529412,51.51382806
243,3,Gt Marlborough St,-0.137861804,51.51474783,Marlborough Mews,-0.139642046,51.51486826
244,2,Gt Marlborough St,-0.137663891,51.51478803,Broad St,-0.136589075,51.51330218
245,3,Poland St,-0.137065272,51.51450206,Broad St,-0.136589075,51.51330218
246,2,Poland St,-0.136956831,51.51469151,Broad St,-0.136589075,51.51330218
247,1,Maynard Yards,-0.13839792,51.51225163,Warwick St,-0.138141407,51.51124575
248,1,Upper John St,-0.138062726,51.51195248,Warwick St,-0.138141407,51.51124575
249,2,Golden Sq,-0.137713563,51.5118456,Warwick St,-0.138141407,51.51124575
250,3,Heddon Court,-0.139986314,51.51117531,Vigo St,-0.139514102,51.51011035
251,1,Gt Windwill St,-0.13440577,51.51116247,Tighborne St,-0.133912743,51.5100359
252,1,Gt Crown St,-0.13382964,51.51197331,Upper Rupert St,-0.133518304,51.5120734
253,1,Gt Crown St,-0.133901183,51.51204227,Upper Rupert St,-0.133518304,51.5120734
254,1,Little Pulteney St,-0.133659704,51.51249172,Upper Rupert St,-0.133518304,51.5120734
255,1,Little Pulteney St,-0.133816388,51.51243711,Upper Rupert St,-0.133518304,51.5120734
256,1,George Court,-0.132373827,51.51107073,King St,-0.131546054,51.51230235
257,1,Rupert St,-0.132617571,51.51115968,Upper Rupert St,-0.133518304,51.5120734
258,2,Berwick St,-0.135095119,51.51394265,Broad St,-0.136589075,51.51330218
259,2,Broad St,-0.136286759,51.51330718,Broad St,-0.136589075,51.51330218
260,2,Cambridge St,-0.136339673,51.51325534,Broad St,-0.136589075,51.51330218
261,2,Mew St,-0.135359308,51.5127415,Broad St,-0.136589075,51.51330218
262,1,William and Mary Yard,-0.134855075,51.51206245,Bridle St,-0.135854793,51.51147816
263,2,Pulteney St,-0.135931284,51.51293196,Broad St,-0.136589075,51.51330218
264,2,Pulteney St,-0.135823828,51.51296762,Broad St,-0.136589075,51.51330218
265,1,Marshall St,-0.138082481,51.51346368,Carnaby St,-0.139529412,51.51382806
266,1,Carnaby St,-0.139311492,51.51404652,Carnaby St,-0.139529412,51.51382806
267,1,Noel St,-0.135696572,51.5150204,Berners St,-0.135897379,51.5160784
268,1,Berwick St,-0.135471443,51.51439266,Broad St,-0.136589075,51.51330218
269,1,Broad St,-0.135135519,51.51367413,Broad St,-0.136589075,51.51330218
270,1,Broad St,-0.135219074,51.5136475,Broad St,-0.136589075,51.51330218
271,1,Broad St,-0.135316009,51.51362049,Broad St,-0.136589075,51.51330218
272,2,Coerns Court,-0.13441893,51.51234855,Upper Rupert St,-0.133518304,51.5120734
273,2,Coerns Court,-0.134529032,51.51245381,Upper Rupert St,-0.133518304,51.5120734
274,1,Tylers Court,-0.134106418,51.51323027,Upper Rupert St,-0.133518304,51.5120734
275,1,Hopkins St,-0.135080778,51.51322999,Broad St,-0.136589075,51.51330218
276,1,Hopkins St,-0.135015239,51.51315399,Broad St,-0.136589075,51.51330218
277,1,Heddon Court,-0.139907774,51.51129259,Vigo St,-0.139514102,51.51011035
278,1,Leicester St,-0.139377077,51.51076516,Vigo St,-0.139514102,51.51011035
279,1,South Row,-0.138280993,51.5132508,Carnaby St,-0.139529412,51.51382806
280,1,Broad St,-0.136521849,51.51326193,Broad St,-0.136589075,51.51330218
281,1,Cambridge St,-0.136210849,51.51305573,Broad St,-0.136589075,51.51330218
282,1,Broad St,-0.136206789,51.51333511,Broad St,-0.136589075,51.51330218
283,1,Bridle St,-0.13646187,51.51209373,Bridle St,-0.135854793,51.51147816
284,1,Berwick St,-0.134200815,51.51288809,Upper Rupert St,-0.133518304,51.5120734
285,1,Pulteney Court,-0.134700532,51.51237445,Upper Rupert St,-0.133518304,51.5120734
286,1,Little Pulteney St,-0.134031083,51.51222286,Upper Rupert St,-0.133518304,51.5120734
287,1,Little Pulteney St,-0.134449841,51.51202534,Upper Rupert St,-0.133518304,51.5120734
288,1,Queens Head Court,-0.134498037,51.51179514,Upper Rupert St,-0.133518304,51.5120734
289,1,Little Pulteney St,-0.133659304,51.51238963,Upper Rupert St,-0.133518304,51.5120734
290,1,Peter St,-0.133739224,51.51286527,Upper Rupert St,-0.133518304,51.5120734
291,1,Edward St,-0.13451523,51.51398781,Upper Rupert St,-0.133518304,51.5120734
292,1,St Anns Court,-0.133826547,51.51435905,Newman St,-0.134701533,51.51626905
293,1,Marlborough Mews,-0.139517236,51.51499998,Marlborough Mews,-0.139642046,51.51486826
294,1,Poland St,-0.137137296,51.51493396,Berners St,-0.135897379,51.5160784
295,1,Berwick St,-0.13628151,51.51537814,Berners St,-0.135897379,51.5160784
296,1,Husband St,-0.134861215,51.51281994,Upper Rupert St,-0.133518304,51.5120734
297,1,Rupert St,-0.133321018,51.51169791,Upper Rupert St,-0.133518304,51.5120734
298,2,St Anns Place,-0.134186645,51.51446237,Newman St,-0.134701533,51.51626905
299,2,Berwick St,-0.134278112,51.51298831,Upper Rupert St,-0.133518304,51.5120734
300,1,Hollen St,-0.134942501,51.5154518,Newman St,-0.134701533,51.51626905
301,1,Peter St,-0.134666767,51.51264426,Upper Rupert St,-0.133518304,51.5120734
302,1,Angel Court,-0.134140767,51.51058155,Tighborne St,-0.133912743,51.5100359
303,3,Cambridge St,-0.136132843,51.51301901,Broad St,-0.136589075,51.51330218
304,4,New St,-0.135639355,51.51301116,Broad St,-0.136589075,51.51330218
305,2,Pulteney Court,-0.135747564,51.51299443,Broad St,-0.136589075,51.51330218
306,1,Pulteney Court,-0.135982375,51.51297133,Broad St,-0.136589075,51.51330218
307,1,Pulteney Court,-0.135892628,51.51299674,Broad St,-0.136589075,51.51330218
308,1,Pulteney Court,-0.135819,51.51302241,Broad St,-0.136589075,51.51330218
309,1,Pulteney Court,-0.135731803,51.51305121,Broad St,-0.136589075,51.51330218
310,1,Marlborough Row,-0.138113873,51.51292974,Broad St,-0.136589075,51.51330218
311,2,Marlborough Row,-0.138170579,51.51298935,Carnaby St,-0.139529412,51.51382806
312,1,Cross St,-0.138836876,51.51299155,Carnaby St,-0.139529412,51.51382806
313,1,Cross St,-0.139235575,51.51303646,Carnaby St,-0.139529412,51.51382806
